loss,accuracy,val_loss,val_accuracy
0.866399884223938,0.7441049218177795,0.29224371910095215,0.9390863180160522
0.15277372300624847,0.9675372838973999,0.11768896132707596,0.9752538204193115
0.04232911393046379,0.9961932897567749,0.054599959403276443,0.9936548471450806
0.018003644421696663,0.9987310767173767,0.03529920428991318,0.9923858046531677
0.008061612024903297,0.9997885227203369,0.029870931059122086,0.9933375716209412
0.0050934371538460255,0.9996827840805054,0.03321240469813347,0.9927030205726624
0.0033238010946661234,0.9998942613601685,0.02787000872194767,0.9923858046531677
0.0020674807019531727,1.0,0.025451820343732834,0.9936548471450806
0.0015595406293869019,1.0,0.027563588693737984,0.9933375716209412
0.00118243636097759,1.0,0.028806263580918312,0.9927030205726624
